Group,OB,XGBOOST
UAV,0.668989936,0.944958
GF-1,0.882759219,1.06412
sen,0.76599807,0.460564
sen,0.920109441,0.761319
sen,0.715093967,0.84209
sen,0.762947176,0.418994
file,0.435567846,0.160836
file,0.311192457,0.121892
UAV,1.898759276,1.79255
UAV,1.87196238,1.54624
file,0.423024847,0.148484
sen,0.358326722,0.22338
file,0.399981482,0.035897
UAV,2.65615147,1.69415
GF-1,1.922246932,1.24581
sen,0.572941161,0.179695
sen,1.450709937,0.903491
file,0.77150709,0.482361
GF-1,0.573972803,0.114211
UAV,1.652669188,1.17034
GF-1,0.597506043,0.471951
sen,2.94222997,2.29303
UAV,0.875014926,0.50087
UAV,1.950289914,1.60101
sen,0.799358229,0.114211
GF-1,0.771840328,1.1687
GF-1,0.433832432,0.26616
UAV,1.827586283,1.71104
sen,0.94232799,0.352386
GF-1,0.551907346,0.0523756
GF-1,0.597425341,0.796533
UAV,0.374882518,0.0586756
GF-1,0.47595699,0.720681
sen,0.51815991,0.139522
GF-1,0.562338794,0.0771486
sen,1.16289452,0.981828
sen,0.761176119,0.0740672
GF-1,2.182473378,2.32013
UAV,2.068007141,1.74303
sen,1.694001157,0.987745
GF-1,0.087011948,0.150533
UAV,0.39357835,0.148694
GF-1,0.878419883,0.674646
GF-1,0.904110348,0.399248
UAV,0.509172057,0.462963
sen,2.826196992,2.42994
sen,0.585188369,0.32879
GF-1,0.995985461,0.497512
UAV,2.377641302,1.92876
GF-1,0.010069949,0.23015
sen,0.565062282,0.408925
sen,0.179123992,0.0205437
sen,0.659588728,0.402223
sen,0.508299473,0.105843
sen,1.348818541,0.855718
UAV,1.064166669,1.3291
GF-1,0.114854734,0.218904
file,0.351335611,0.214535
UAV,1.857282812,2.08333
GF-1,0.57094588,0.115693
GF-1,1.429453708,0.903106
sen,1.168866031,0.916076
file,1.295958844,1.63934
UAV,1.262602805,1.09712
GF-1,0.962701582,0.734049
GF-1,0.1610825,1.109549
file,1.17911102,0.885699
sen,1.436927482,0.835549
UAV,2.927725932,2.18265
file,0.470134166,0.240639
GF-1,0.317988911,0.613986
sen,0.52788719,0.228137
UAV,0.3578602,0.669696
sen,0.572304932,0.907266
GF-1,0.485493878,0.100122
sen,0.386862338,0.612276
GF-1,0.313571775,0.202059
GF-1,0.552537477,0.711133
GF-1,0.834525436,1.21259
GF-1,1.964733611,1.71489
GF-1,0.012228928,0.116414
GF-1,0.603914984,0.342057
sen,1.414691813,1.00538
file,0.603001597,0.319462
UAV,0.977763447,1.09575
file,0.349155307,0.243528
UAV,1.0297503,0.145641
sen,0.794843551,0.641026
UAV,1.038753441,1.6945
GF-1,0.293674602,1.95713
sen,0.81963253,0.278131
GF-1,0.402778005,0.0519211
sen,2.085574029,1.7029
sen,0.853421622,0.653314
UAV,2.095635149,1.78632
UAV,2.461807329,2.03901
sen,0.744619951,0.527217
sen,0.644757945,0.257713
GF-1,1.554082861,2.07877
file,0.672302031,0.362749
sen,0.72977224,0.405664
GF-1,0.735926267,0.483049
sen,1.214693424,0.020145
UAV,2.411874443,2.02492
GF-1,0.144243424,0.289077
UAV,1.701389376,1.47515
UAV,0.959782232,0.720759
sen,0.532262276,0.340663
GF-1,0.094344567,0.218245
GF-1,0.80960259,0.672738
GF-1,0.259355858,0.08846
GF-1,1.58083668,1.27547
sen,0.459674275,0.348879
UAV,1.462350745,1.20393
UAV,0.5233896,0.379119
file,0.868322877,0.321285
sen,0.291131989,0.146341
sen,1.853982624,0.292232
sen,1.105486978,0.816977
sen,0.301812064,0.163526
sen,1.577559088,1.02582
GF-1,0.22513754,0.597106
GF-1,1.801953019,1.07481
UAV,2.568388398,1.95385
sen,1.332819484,0.842828
GF-1,0.667144226,0.179806
sen,0.50331183,0.280707
sen,0.532918026,0.159744
sen,1.205363022,0.682415
sen,2.745650998,1.94378
sen,1.21526316,0.99699
GF-1,0.233913473,0.45798
GF-1,0.38966588,1.19273
GF-1,0.981914943,0.213371
UAV,0.94953,1.06044
sen,2.823111771,2.19342
GF-1,0.4587599,0.380546
sen,0.062161307,0.752651
GF-1,0.20747023,0.552641
sen,0.185607962,0.0572246
sen,0.756266338,0.00912742
UAV,0.863094336,1.16817
UAV,0.386179492,0.192625
UAV,0.601224569,0.171527
GF-1,0.12034065,0.247486
UAV,1.40745678,1.12947
sen,0.926079086,0.706514
GF-1,0.627918918,0.888409
file,0.860875109,0.644917
GF-1,1.973639614,1.34298
sen,1.244005092,0.0494234
GF-1,0.465049095,0.0503905
sen,0.317900637,0.168799
sen,0.81252817,1.16402
GF-1,1.829801052,1.22586
file,0.336886693,0.0886623
sen,0.79196643,0.65944
sen,0.807765684,0.425193
sen,0.605587041,0.390999
GF-1,0.039745455,0.349235
sen,0.418574837,0.288184
sen,0.345196103,0.0341507
GF-1,2.102108767,1.83345
sen,0.91952641,0.701722
sen,0.46950458,0.228851
UAV,1.908158359,1.38153
sen,2.277398344,2.05976
GF-1,0.534126544,0.422473
UAV,0.771175638,1.34196
UAV,1.729854557,1.62577
sen,0.792227429,0.1102
sen,1.070816065,0.651633
sen,0.813568387,0.657802
GF-1,0.794944009,0.504058
UAV,1.049645093,0.865766
sen,0.473072458,0.0273523
sen,0.267355059,0.104254
GF-1,0.625187312,0.755783
sen,0.63811887,0.158152
sen,2.719895168,2.06789
sen,0.697843482,0.587264
GF-1,0.208674929,0.465411
GF-1,0.594607153,0.336517
GF-1,0.903518266,0.129572
UAV,1.690859877,2.30293
UAV,0.718954451,0.536473
UAV,1.954187581,1.67288
sen,0.696475395,0.160487
UAV,1.801541549,1.56635
GF-1,0.858086706,1.01481
UAV,1.545634701,1.343
sen,0.73428537,0.0331418
file,0.884473807,0.597701
file,0.549345241,0.236756
sen,0.287277982,0.153576
GF-1,0.277014218,0.964492
GF-1,0.244540251,0.538752
sen,1.893931612,1.09068
